t_s,gz_filt_dps,ax_filt_mms2,ay_filt_mms2,az_filt_mms2,ax_raw_mms2,ay_raw_mms2,az_raw_mms2
0.0000,0.2515,3039.08,9441.84,-420.71,3039.08,9441.84,-420.71
3.8030,0.2221,3095.50,9446.82,75.93,3230.31,9542.85,2258.47
3.8130,0.2221,2395.98,9588.90,47.41,-402.07,10394.07,-66.69
3.8230,0.2221,2080.36,9238.81,61.86,817.87,7254.96,119.64
3.8340,0.2221,1515.03,9401.36,-511.45,-746.29,10322.48,-2804.70
3.8440,0.2221,1539.37,9500.84,-648.45,1636.73,10064.56,-1196.41
3.8540,0.2221,1155.01,9150.28,-583.87,-382.46,7163.76,-325.58
3.8640,0.2221,1820.92,8756.83,-538.88,4484.58,6527.31,-358.92
3.8750,0.2221,2075.93,9077.88,258.10,3095.96,10897.15,3446.06
3.8850,0.2221,2319.16,8841.81,-154.40,3292.09,7504.05,-1804.42
3.8950,0.2221,2370.18,8946.23,-491.07,2574.25,9537.95,-1837.77
3.9050,0.2221,2101.89,9160.61,-555.65,1028.72,10375.44,-813.95
3.9160,0.2221,2510.37,9302.67,-536.31,4144.29,10107.71,-458.95
3.9260,0.2221,3153.91,9145.56,-480.83,5728.06,8255.24,-258.90
3.9360,0.2221,2690.62,9443.45,-17.11,837.49,11131.53,1837.77
3.9460,17.5254,3037.84,9639.89,-131.37,4426.72,10752.99,-588.40
3.9570,28.2098,2505.98,9694.17,38.48,378.54,10001.80,717.85
3.9670,34.1138,2670.85,9636.91,-422.87,3330.34,9312.39,-2268.28
3.9770,36.1256,2529.14,9133.84,-1092.43,1962.31,6283.12,-3770.66
3.9870,37.3659,2580.33,8316.56,-874.93,2785.09,3685.34,-4.90
3.9980,37.2891,2112.12,8842.22,-1613.92,239.28,11820.94,-4569.90
4.0080,36.3113,2612.31,8655.76,-1524.73,4613.05,7599.17,-1167.97
4.0180,33.1489,2735.91,8620.84,-1812.30,3230.31,8422.93,-2962.59
4.0280,30.6412,3275.11,8227.23,-1812.30,5431.90,5996.77,6345.88
4.0380,27.7728,2768.36,8066.38,-897.53,741.38,7154.93,2761.55
4.0490,23.3289,3122.98,7857.88,-804.13,4541.46,6676.37,-430.51
4.0590,19.2942,3400.99,7717.87,-1186.00,4513.02,6924.48,-2713.50
